,forks_count,language,stargazers,topics,url,watchers_count
735,70,,120,"['books', 'machine-learning']",https://api.github.com/repos/liuchengxu/books,120
736,11,Python,119,"['dataset', 'machine-learning', 'natural-language-processing']",https://api.github.com/repos/chakki-works/chazutsu,119
737,34,Python,119,"['data-science', 'deep-learning', 'kaggle', 'kaggle-competition', 'machine-learning', 'nlp', 'pipeline', 'python']",https://api.github.com/repos/minerva-ml/open-solution-toxic-comments,119
738,7,Swift,119,"['coreml', 'coremltools', 'deep-learning', 'deep-neural-networks', 'demo', 'ios', 'ios11', 'keras', 'machine-learning', 'rnn', 'swift']",https://api.github.com/repos/akimach/GestureAI-CoreML-iOS,119
739,3,Python,119,"['artificial-intelligence', 'deep-learning', 'machine-learning', 'reproducibility', 'version-control']",https://api.github.com/repos/datmo/datmo,119
740,37,Python,119,"['gaussian-processes', 'keras', 'machine-learning', 'neural-networks', 'tensorflow', 'theano']",https://api.github.com/repos/alshedivat/keras-gp,119
741,19,Python,119,"['binary', 'binary-analysis', 'binary-diffing', 'comparison', 'diffing', 'function-level-diffing', 'ida', 'ida-plugin', 'ida-pro', 'idb', 'machine-learning', 'plugin', 'python', 'rematch', 'reverse-engineering', 'reverse-engineers']",https://api.github.com/repos/nirizr/rematch,119
742,21,Python,119,"['continuous-control', 'evolutionary-strategy', 'machine-learning', 'meta-learning', 'reinforcement-learning']",https://api.github.com/repos/openai/EPG,119
743,40,Java,118,"['algorithm', 'artificial-intelligence', 'information-retrieval', 'java', 'linear-algebra', 'machine-learning', 'statistics']",https://api.github.com/repos/algorithmfoundry/Foundry,118
744,50,Python,118,"['bitcoin', 'lstm', 'machine-learning', 'rnn', 'tensorflow', 'trading-bot']",https://api.github.com/repos/TensorFlowNews/TensorFlow-Bitcoin-Robot,118
745,40,Python,118,"['bci', 'brain-computer-interface', 'covariance-matrices', 'eeg', 'machine-learning', 'neuroscience', 'python']",https://api.github.com/repos/alexandrebarachant/pyRiemann,118
746,29,Jupyter Notebook,117,"['data-analysis', 'data-science', 'machine-learning', 'predictive-analysis', 'random-forest', 'visualization', 'youtube-api']",https://api.github.com/repos/ayush1997/YouTube-Like-predictor,117
747,9,Julia,117,"['deep-learning', 'julia', 'machine-learning', 'neural-networks']",https://api.github.com/repos/hshindo/Merlin.jl,117
748,66,,117,"['book', 'data-mining', 'eslii', 'machine-learning', 'machine-learning-algorithms', 'prml', 'tutorial']",https://api.github.com/repos/wq19901103wq/machine-learning-books,117
749,61,Jupyter Notebook,116,"['data-product', 'data-science', 'machine-learning', 'python', 'stack-data-science', 'workshop']",https://api.github.com/repos/amitkaps/full-stack-data-science,116
750,14,Python,116,"['deep-learning', 'hyperparameter-optimization', 'machine-learning']",https://api.github.com/repos/negrinho/deep_architect,116
751,48,Python,116,"['dataset', 'deep-learning', 'machine-learning', 'news', 'reuters']",https://api.github.com/repos/philipperemy/Reuters-full-data-set,116
